"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Brent Central","45323","Unaltered","LD","20026","LD","25489","6"
"Brent North","52298","Unaltered","Lab","24514","Lab","34118","7"
"Brentford & Isleworth","53765","Unaltered","Con","20022","Con","28297","9"
"Brentwood & Ongar","50592","Unaltered","Con","28793","Con","28793","1"
"Bridgend","38347","Unaltered","Lab","13931","Lab","18841","5"
"Bridgwater & Somerset West","54493","Unaltered","Con","24675","Con","28561","5"
"Brigg & Goole","43874","Unaltered","Con","19680","Con","22927","3"
"Brighton Kemptown","42705","Unaltered","Con","16217","Con","23355","5"
"Brighton Pavilion","51834","Altered","Grn","16238","Lab","22145","7"
"Bristol East","45017","Unaltered","Lab","16471","Lab","22730","7"
"Bristol North West","50336","Altered","Con","19115","LD","26127","5"
"Bristol South","48377","Altered","Lab","18600","LD","25850","7"
"Bristol West","55347","Unaltered","LD","26593","LD","28164","5"
"Broadland","52676","Unaltered","Con","24338","Con","27591","4"
"Bromley & Chislehurst","44037","Unaltered","Con","23569","Con","23569","1"
"Bromsgrove","51630","Unaltered","Con","22558","Con","27431","6"
"Broxbourne","45658","Unaltered","Con","26844","Con","26844","1"
"Broxtowe","52727","Unaltered","Con","20585","Con","27751","5"
"Buckingham","48335","Unaltered","Speaker","22860","Speaker","22860","10"
"Burnley","41845","Unaltered","LD","14932","LD","21882","6"
"Burton","49823","Unaltered","Con","22188","Con","26048","3"
"Bury North","44961","Unaltered","Con","18070","Con","24988","6"
"Bury South","48267","Altered","Lab","19508","Con","26114","6"
"Bury St Edmunds","58718","Unaltered","Con","27899","Con","30902","3"
"Caerphilly","38692","Unaltered","Lab","17377","Lab","21611","4"
"Caithness, Sutherland & Easter Ross","28768","Unaltered","LD","11907","LD","15651","3"
"Calder Valley","51780","Unaltered","Con","20397","Con","30048","8"
"Camberwell & Peckham","46659","Unaltered","Lab","27619","Lab","27619","1"
"Camborne & Redruth","42493","Altered","Con","15969","LD","23429","6"
"Cambridge","50130","Unaltered","LD","19621","LD","33425","6"
"Cambridgeshire North East","52064","Unaltered","Con","26862","Con","26862","1"
"Cambridgeshire North West","58283","Unaltered","Con","29425","Con","29425","1"
"Cambridgeshire South","59056","Unaltered","Con","27995","Con","29868","3"
"Cambridgeshire South East","57602","Unaltered","Con","27629","Con","30256","5"
"Cannock Chase","45559","Unaltered","Con","18271","Con","27801","7"
"Canterbury","49209","Altered","Con","22050","LD","25079","5"
"Cardiff Central","36151","Unaltered","LD","14976","LD","24177","8"
"Cardiff North","47630","Unaltered","Con","17860","Con","23722","6"
"Cardiff South & Penarth","44369","Unaltered","Lab","17262","Lab","25571","8"
"Cardiff West","40958","Unaltered","Lab","16894","Lab","20871","5"
"Carlisle","42200","Unaltered","Con","16589","Con","25211","7"
"Carmarthen East & Dinefwr","38011","Unaltered","PC","13546","PC","15853","4"
"Carmarthen West & Pembrokeshire South","40507","Unaltered","Con","16649","Con","20964","4"
"Carshalton & Wallington","45918","Unaltered","LD","22180","LD","26550","5"
"Castle Point","45026","Unaltered","Con","19806","Con","25174","3"
"Ceredigion","38258","Unaltered","LD","19139","LD","19139","1"
"Charnwood","53542","Unaltered","Con","26560","Con","27888","2"
"Chatham & Aylesford","43807","Unaltered","Con","20230","Con","22976","6"
"Cheadle","52512","Unaltered","LD","24717","LD","29637","3"
"Chelmsford","54593","Unaltered","Con","25207","Con","27887","6"
"Chelsea & Fulham","39856","Unaltered","Con","24093","Con","24093","1"
"Cheltenham","52786","Unaltered","LD","26659","LD","26659","1"
"Chesham & Amersham","52444","Unaltered","Con","31658","Con","31658","1"
"Chester, City of","46790","Unaltered","Con","18995","Con","27508","6"
"Chesterfield","45839","Altered","Lab","17891","LD","24859","6"
"Chichester","56787","Unaltered","Con","31427","Con","31427","1"
"Chingford & Woodford Green","43106","Unaltered","Con","22743","Con","22743","1"
"Chippenham","52385","Unaltered","LD","23970","LD","28036","7"
"Chipping Barnet","50608","Unaltered","Con","24700","Con","26142","4"
"Chorley","49774","Altered","Lab","21515","Con","26119","4"
"Christchurch","49416","Unaltered","Con","27888","Con","27888","1"
"Cities of London & Westminster","36931","Unaltered","Con","19264","Con","19264","1"
"Clacton","43123","Unaltered","Con","22867","Con","22867","1"
"Cleethorpes","44966","Altered","Con","18939","Lab","22833","3"
"Clwyd South","34681","Altered","Lab","13311","Con","19136","5"
"Clwyd West","38111","Unaltered","Con","15833","Con","19620","5"
"Coatbridge, Chryston & Bellshill","41635","Unaltered","Lab","27728","Lab","27728","1"
"Colchester","46139","Unaltered","LD","22151","LD","28525","8"
"Colne Valley","55296","Altered","Con","20440","LD","30654","6"
"Congleton","50780","Unaltered","Con","23250","Con","25397","5"
"Copeland","42787","Altered","Lab","19699","Con","22699","5"
"Corby","54236","Unaltered","Con","22886","Con","31303","3"
"Cornwall North","46844","Unaltered","LD","22512","LD","24483","3"
"Cornwall South East","49617","Unaltered","Con","22390","Con","25473","4"
"Cotswolds, The","54832","Unaltered","Con","29075","Con","29075","1"
"Coventry North East","43383","Unaltered","Lab","21384","Lab","28594","6"
"Coventry North West","46560","Unaltered","Lab","19936","Lab","24578","8"
"Coventry South","45924","Unaltered","Lab","19197","Lab","23762","5"
"Crawley","47504","Unaltered","Con","21264","Con","24318","6"
"Crewe & Nantwich","51084","Unaltered","Con","23420","Con","25877","4"
"Croydon Central","49667","Unaltered","Con","19567","Con","28702","9"
"Croydon North","51676","Unaltered","Lab","28947","Lab","28947","1"
"Croydon South","56322","Unaltered","Con","28684","Con","28684","1"
"Cumbernauld, Kilsyth & Kirkintilloch East","41150","Unaltered","Lab","23549","Lab","23549","1"
"Cynon Valley","29876","Unaltered","Lab","15681","Lab","15681","1"
"Dagenham & Rainham","44232","Altered","Lab","17813","Con","21851","7"
"Darlington","42896","Altered","Lab","16891","Con","23112","4"
"Dartford","50080","Unaltered","Con","24428","Con","26270","4"
"Daventry","51774","Unaltered","Con","29252","Con","29252","1"
"Delyn","36984","Unaltered","Lab","15083","Lab","18909","5"
"Denton & Reddish","37635","Unaltered","Lab","19191","Lab","19191","1"
"Derby North","45080","Altered","Lab","14896","Con","23241","6"
"Derby South","41188","Unaltered","Lab","17851","Lab","24167","4"
"Derbyshire Dales","46780","Unaltered","Con","24378","Con","24378","1"
"Derbyshire Mid","47342","Unaltered","Con","22877","Con","24348","3"
"Derbyshire North East","47034","Unaltered","Lab","17948","Lab","26226","3"
"Derbyshire South","50419","Unaltered","Con","22935","Con","26334","4"
"Devizes","46340","Unaltered","Con","25519","Con","25519","1"
"Devon Central","53873","Unaltered","Con","27737","Con","27737","1"
"Devon East","53092","Unaltered","Con","25662","Con","30008","3"
"Devon North","51321","Unaltered","LD","24305","LD","27508","7"
"Devon South West","49860","Unaltered","Con","27908","Con","27908","1"
"Devon West & Torridge","55257","Unaltered","Con","25230","Con","29017","5"
"Dewsbury","54008","Unaltered","Con","18898","Con","27404","6"
"Don Valley","43420","Unaltered","Lab","16472","Lab","22038","6"
"Doncaster Central","41745","Unaltered","Lab","16569","Lab","20948","7"
"Doncaster North","41483","Unaltered","Lab","19637","Lab","24339","6"
"Dorset Mid & Poole North","46788","Unaltered","LD","21100","LD","23848","3"
"Dorset North","54141","Unaltered","Con","27640","Con","27640","1"
"Dorset South","50310","Unaltered","Con","22667","Con","31820","5"
"Dorset West","57337","Unaltered","Con","27287","Con","29483","3"
"Dover","50385","Unaltered","Con","22174","Con","25441","6"
"Down North","33481","Unaltered","Ind1","21181","Ind1","21181","1"
"Down South","42589","Unaltered","SDLP","20648","SDLP","21965","3"
"Dudley North","38602","Altered","Lab","14923","Con","19743","5"
"Dudley South","38165","Unaltered","Con","16450","Con","19582","2"
"Dulwich & West Norwood","48214","Altered","Lab","22461","LD","24411","4"
"Dumfries & Galloway","52173","Unaltered","Lab","23950","Lab","25099","4"
"Dumfriesshire, Clydesdale & Tweeddale","45892","Altered","Con","17457","Lab","20583","5"
"Dunbartonshire East","47948","Unaltered","LD","18551","LD","25982","4"
"Dunbartonshire West","42266","Unaltered","Lab","25905","Lab","25905","1"
"Dundee East","40568","Altered","SNP","15350","Lab","18610","6"
"Dundee West","37126","Unaltered","Lab","17994","Lab","22227","5"
"Dunfermline & Fife West","48947","Unaltered","Lab","22639","Lab","22639","4"
"Durham, City of","46252","Altered","Lab","20496","LD","23575","5"
"Durham North","40967","Unaltered","Lab","20698","Lab","20698","1"
"Durham North West","43815","Unaltered","Lab","18539","Lab","26755","5"
"Dwyfor Meirionnydd","28906","Unaltered","PC","12814","PC","14610","4"
"Ealing Central & Acton","47200","Unaltered","Con","17944","Con","25270","6"
"Ealing North","47678","Unaltered","Lab","24023","Lab","24023","1"
"Ealing Southall","42756","Unaltered","Lab","22024","Lab","22024","1"
"Easington","34914","Unaltered","Lab","20579","Lab","20579","1"
"East Ham","50373","Unaltered","Lab","35471","Lab","35471","1"
"East Kilbride, Strathaven & Lesmahagow","50946","Unaltered","Lab","26241","Lab","26241","1"
"East Lothian","49161","Unaltered","Lab","21919","Lab","26879","5"
"Eastbourne","52124","Unaltered","LD","24658","LD","27155","7"
"Eastleigh","53650","Unaltered","LD","24966","LD","30119","6"
"Eddisbury","45414","Unaltered","Con","23472","Con","23472","1"
"Edinburgh East","39865","Unaltered","Lab","17314","Lab","19349","5"
"Edinburgh North & Leith","47356","Altered","Lab","17740","LD","23659","8"
"Edinburgh South","43801","Altered","Lab","15215","LD","24549","4"
"Edinburgh South West","45462","Unaltered","Lab","19473","Lab","26598","6"
"Edinburgh West","46447","Unaltered","LD","16684","LD","27451","3"
"Edmonton","40377","Unaltered","Lab","21665","Lab","21665","1"
"Ellesmere Port & Neston","44233","Unaltered","Lab","19750","Lab","24749","4"
"Elmet & Rothwell","55789","Unaltered","Con","23778","Con","31293","5"
"Eltham","41964","Unaltered","Lab","17416","Lab","21760","7"
"Enfield North","44453","Unaltered","Con","18804","Con","23517","9"
"Enfield Southgate","44352","Unaltered","Con","21928","Con","22644","7"
"Epping Forest","46584","Unaltered","Con","25148","Con","25148","1"
"Epsom & Ewell","54955","Unaltered","Con","30868","Con","30868","1"
"Erewash","47642","Unaltered","Con","18805","Con","24067","6"
"Erith & Thamesmead","42476","Unaltered","Lab","19068","Lab","21953","8"
"Esher & Walton","54543","Unaltered","Con","32134","Con","32134","1"
"Exeter","52247","Unaltered","Lab","19942","Lab","25788","6"
"Falkirk","50777","Unaltered","Lab","23207","Lab","27139","3"
"Fareham","54345","Unaltered","Con","30037","Con","30037","1"
"Faversham & Kent Mid","46712","Unaltered","Con","26250","Con","26250","1"
"Feltham & Heston","48536","Unaltered","Lab","21174","Lab","26553","9"
"Fermanagh & South Tyrone","46803","Unaltered","SF","21304","SF","21741","4"
"Fife North East","40064","Unaltered","LD","17763","LD","24632","4"
"Filton & Bradley Stoke","48301","Unaltered","Con","19686","Con","28613","7"
"Finchley & Golders Green","47157","Unaltered","Con","21688","Con","28507","4"
"Folkestone & Hythe","52800","Unaltered","Con","26109","Con","27351","4"
"Forest of Dean","48763","Unaltered","Con","22853","Con","25375","3"
"Foyle","37889","Unaltered","SDLP","16922","SDLP","21634","5"
"Fylde","43690","Unaltered","Con","22826","Con","22826","1"
"Gainsborough","49251","Unaltered","Con","24266","Con","25778","2"
"Garston & Halewood","42825","Unaltered","Lab","25493","Lab","25493","1"
"Gateshead","38257","Unaltered","Lab","20712","Lab","20712","1"
"Gedling","48190","Unaltered","Lab","19821","Lab","25300","4"
"Gillingham & Rainham","46786","Unaltered","Con","21624","Con","24752","7"
"Glasgow Central","30580","Unaltered","Lab","15908","Lab","15908","1"
"Glasgow East","32164","Unaltered","Lab","19797","Lab","19797","1"
"Glasgow North","29613","Unaltered","Lab","13181","Lab","13895","6"
"Glasgow North East","29409","Unaltered","Lab","20100","Lab","20100","1"
"Glasgow North West","35582","Unaltered","Lab","19233","Lab","19233","1"
"Glasgow South","40094","Unaltered","Lab","20736","Lab","20736","1"
"Glasgow South West","31781","Unaltered","Lab","19863","Lab","19863","1"
"Glenrothes","40501","Unaltered","Lab","25247","Lab","25247","1"
"Gloucester","50764","Unaltered","Con","20267","Con","27528","5"
"Gordon","48775","Unaltered","LD","17575","LD","27265","4"
"Gosport","46939","Unaltered","Con","24300","Con","24300","1"
"Gower","41671","Unaltered","Lab","16016","Lab","24667","5"
"Grantham & Stamford","52799","Unaltered","Con","26552","Con","26552","1"
"Gravesham","47303","Unaltered","Con","22956","Con","23961","4"
"Great Grimsby","32954","Altered","Lab","10777","Con","18722","6"
"Great Yarmouth","43057","Unaltered","Con","18571","Con","22058","5"
"Greenwich & Woolwich","41188","Unaltered","Lab","20262","Lab","21316","6"
"Guildford","55567","Unaltered","Con","29618","Con","29618","1"
"Hackney North & Stoke Newington","46461","Unaltered","Lab","25553","Lab","25553","1"
"Hackney South & Shoreditch","42858","Unaltered","Lab","23888","Lab","23888","1"
"Halesowen & Rowley Regis","43979","Unaltered","Con","18115","Con","25846","4"
"Halifax","43555","Altered","Lab","16278","Con","24528","5"
"Haltemprice & Howden","48737","Unaltered","Con","24486","Con","24486","1"
"Halton","41338","Unaltered","Lab","23843","Lab","23843","1"
"Hammersmith","47452","Altered","Lab","20810","Con","25811","6"
"Hampshire East","51317","Unaltered","Con","29137","Con","29137","1"
"Hampshire North East","52939","Unaltered","Con","32075","Con","32075","1"
"Hampshire North West","53292","Unaltered","Con","31072","Con","31072","1"
"Hampstead & Kilburn","52822","Unaltered","Lab","17332","Lab","30538","7"
"Harborough","54945","Unaltered","Con","26894","Con","28924","4"
"Harlow","43878","Unaltered","Con","19691","Con","23021","4"
"Harrogate & Knaresborough","53134","Altered","Con","24305","LD","26679","4"
"Harrow East","48006","Unaltered","Con","21435","Con","27405","4"
"Harrow West","46116","Unaltered","Lab","20111","Lab","26196","4"
"Hartlepool","38242","Unaltered","Lab","16267","Lab","19461","4"
"Harwich & Essex North","49000","Unaltered","Con","23001","Con","26593","5"
"Hastings & Rye","49814","Unaltered","Con","20468","Con","25408","5"
"Havant","43903","Unaltered","Con","22433","Con","22433","1"
"Hayes & Harlington","42637","Unaltered","Lab","23377","Lab","23377","1"
"Hazel Grove","41981","Unaltered","LD","20485","LD","25719","3"
"Hemel Hempstead","49471","Unaltered","Con","24721","Con","25975","3"
"Hemsworth","43840","Unaltered","Lab","20506","Lab","23416","4"
"Hendon","46374","Altered","Con","19635","Lab","25781","4"
"Henley","53520","Unaltered","Con","30054","Con","30054","1"
"Hereford & Herefordshire South","48381","Unaltered","Con","22366","Con","24990","3"
"Herefordshire North","47568","Unaltered","Con","24631","Con","24631","1"
"Hertford & Stortford","55377","Unaltered","Con","29810","Con","29810","1"
"Hertfordshire North East","50425","Unaltered","Con","26995","Con","26995","1"
"Hertfordshire South West","56750","Unaltered","Con","30773","Con","30773","1"
"Hertsmere","47270","Unaltered","Con","26476","Con","26476","1"
"Hexham","43483","Altered","Con","18795","LD","21260","5"
"Heywood & Middleton","46125","Unaltered","Lab","18499","Lab","23740","5"
"High Peak","50337","Unaltered","Con","20587","Con","30451","6"
"Hitchin & Harpenden","54707","Unaltered","Con","29869","Con","29869","1"
"Holborn & St Pancras","54649","Altered","Lab","25198","LD","27870","8"
"Hornchurch & Upminster","53390","Unaltered","Con","27469","Con","27469","1"
"Hornsey & Wood Green","55042","Unaltered","LD","25595","LD","35699","5"
"Horsham","55841","Unaltered","Con","29447","Con","29447","1"
"Houghton & Sunderland South","38021","Unaltered","Lab","19137","Lab","19137","1"
"Hove","49819","Altered","Con","18294","Lab","26726","5"
"Huddersfield","40524","Unaltered","Lab","15725","Lab","24465","5"
"Hull East","34184","Unaltered","Lab","16387","Lab","24177","5"
"Hull North","33291","Altered","Lab","13044","LD","17002","6"
"Hull West & Hessle","31505","Unaltered","Lab","13378","Lab","21014","6"
"Huntingdon","54266","Unaltered","Con","26516","Con","30050","6"
"Hyndburn","42672","Unaltered","Lab","17531","Lab","21653","8"
"Ilford North","47018","Unaltered","Con","21506","Con","24378","5"
"Ilford South","51191","Unaltered","Lab","25301","Lab","26620","4"
"Inverclyde","37512","Unaltered","Lab","20993","Lab","20993","1"
"Inverness, Nairn, Badenoch & Strathspey","47086","Unaltered","LD","19172","LD","26239","7"
"Ipswich","46941","Altered","Con","18371","Lab","25431","8"
"Isle of Wight","70264","Unaltered","Con","32810","Con","35500","8"
"Islington North","44554","Unaltered","Lab","24276","Lab","24276","1"
"Islington South & Finsbury","43555","Altered","Lab","18407","LD","23471","6"
"Islwyn","34684","Unaltered","Lab","17069","Lab","19719","6"
"Jarrow","38784","Unaltered","Lab","20910","Lab","20910","1"
"Keighley","47692","Unaltered","Con","20003","Con","25312","5"
"Kenilworth & Southam","48431","Unaltered","Con","25945","Con","25945","1"
"Kensington","35150","Unaltered","Con","17595","Con","17595","1"
"Kettering","47328","Unaltered","Con","23247","Con","24199","3"
"Kilmarnock & Loudoun","46553","Unaltered","Lab","24460","Lab","24460","1"
"Kingston & Surbiton","57111","Unaltered","LD","28428","LD","29109","4"
"Kingswood","47906","Unaltered","Con","19362","Con","26080","6"
"Kirkcaldy & Cowdenbeath","45802","Unaltered","Lab","29559","Lab","29559","1"
"Knowsley","44658","Unaltered","Lab","31650","Lab","31650","1"
"Lagan Valley","36540","Unaltered","DUP","18199","DUP","20295","5"
"Lanark & Hamilton East","46554","Unaltered","Lab","23258","Lab","28507","4"
"Lancashire West","48473","Unaltered","Lab","21883","Lab","25633","5"
"Lancaster & Fleetwood","42701","Unaltered","Con","15404","Con","21224","6"
"Leeds Central","37394","Unaltered","Lab","18434","Lab","22418","5"
"Leeds East","37813","Unaltered","Lab","19056","Lab","19056","1"
"Leeds North East","47535","Unaltered","Lab","20287","Lab","24872","5"
"Leeds North West","43483","Unaltered","LD","20653","LD","30293","7"
"Leeds West","38752","Unaltered","Lab","16389","Lab","27594","5"
"Leicester East","47995","Unaltered","Lab","25804","Lab","25804","1"
"Leicester South","47124","Altered","Lab","21479","LD","22925","5"
"Leicester West","35819","Unaltered","Lab","13745","Lab","18268","9"
"Leicestershire North West","51952","Unaltered","Con","23147","Con","27677","3"
"Leicestershire South","54577","Unaltered","Con","27000","Con","28476","2"
"Leigh","44332","Unaltered","Lab","21295","Lab","25299","7"
"Lewes","50088","Unaltered","LD","26048","LD","26048","1"
"Lewisham Deptford","41220","Unaltered","Lab","22132","Lab","22132","1"
"Lewisham East","41719","Altered","Lab","17966","LD","21905","6"
