"District","Turnout","Outcome","FPTP.Winner","FPTP.Winner.Votes","AV.Winner","AV.Winner.Votes","Rounds"
"Carshalton & Wallington","45918","Unaltered","LD","22180","LD","22180","5"
"Castle Point","45026","Unaltered","Con","19806","Con","19806","4"
"Ceredigion","38258","Unaltered","LD","19139","LD","19139","1"
"Charnwood","53542","Unaltered","Con","26560","Con","26560","4"
"Chatham & Aylesford","43807","Unaltered","Con","20230","Con","20230","7"
"Cheadle","52512","Unaltered","LD","24717","LD","24717","3"
"Chelmsford","54593","Unaltered","Con","25207","Con","25207","7"
"Chelsea & Fulham","39856","Unaltered","Con","24093","Con","24093","1"
"Cheltenham","52786","Unaltered","LD","26659","LD","26659","1"
"Chesham & Amersham","52444","Unaltered","Con","31658","Con","31658","1"
"Chester, City of","46790","Unaltered","Con","18995","Con","18995","6"
"Chesterfield","45839","Unaltered","Lab","17891","Lab","17891","6"
"Chichester","56787","Unaltered","Con","31427","Con","31427","1"
"Chingford & Woodford Green","43106","Unaltered","Con","22743","Con","22743","1"
"Chippenham","52385","Unaltered","LD","23970","LD","23970","7"
"Chipping Barnet","50608","Unaltered","Con","24700","Con","24700","5"
"Chorley","49774","Unaltered","Lab","21515","Lab","21515","4"
"Christchurch","49416","Unaltered","Con","27888","Con","27888","1"
"Cities of London & Westminster","36931","Unaltered","Con","19264","Con","19264","1"
"Clacton","43123","Unaltered","Con","22867","Con","22867","1"
"Cleethorpes","44966","Unaltered","Con","18939","Con","18939","3"
"Clwyd South","34681","Unaltered","Lab","13311","Lab","13311","5"
"Clwyd West","38111","Unaltered","Con","15833","Con","15833","6"
"Coatbridge, Chryston & Bellshill","41635","Unaltered","Lab","27728","Lab","27728","1"
"Colchester","46139","Unaltered","LD","22151","LD","22151","8"
"Colne Valley","55296","Unaltered","Con","20440","Con","20440","6"
"Congleton","50780","Unaltered","Con","23250","Con","23250","6"
"Copeland","42787","Unaltered","Lab","19699","Lab","19699","5"
"Corby","54236","Unaltered","Con","22886","Con","22886","3"
"Cornwall North","46844","Unaltered","LD","22512","LD","22512","4"
"Cornwall South East","49617","Unaltered","Con","22390","Con","22390","5"
"Cotswolds, The","54832","Unaltered","Con","29075","Con","29075","1"
"Coventry North East","43383","Unaltered","Lab","21384","Lab","21384","6"
"Coventry North West","46560","Unaltered","Lab","19936","Lab","19936","8"
"Coventry South","45924","Unaltered","Lab","19197","Lab","19197","5"
"Crawley","47504","Unaltered","Con","21264","Con","21264","7"
"Crewe & Nantwich","51084","Unaltered","Con","23420","Con","23420","5"
"Croydon Central","49667","Unaltered","Con","19567","Con","19567","9"
"Croydon North","51676","Unaltered","Lab","28947","Lab","28947","1"
"Croydon South","56322","Unaltered","Con","28684","Con","28684","1"
"Cumbernauld, Kilsyth & Kirkintilloch East","41150","Unaltered","Lab","23549","Lab","23549","1"
"Cynon Valley","29876","Unaltered","Lab","15681","Lab","15681","1"
"Dagenham & Rainham","44232","Unaltered","Lab","17813","Lab","17813","7"
"Darlington","42896","Unaltered","Lab","16891","Lab","16891","4"
"Dartford","50080","Unaltered","Con","24428","Con","24428","6"
"Daventry","51774","Unaltered","Con","29252","Con","29252","1"
"Delyn","36984","Unaltered","Lab","15083","Lab","15083","5"
"Denton & Reddish","37635","Unaltered","Lab","19191","Lab","19191","1"
"Derby North","45080","Unaltered","Lab","14896","Lab","14896","6"
"Derby South","41188","Unaltered","Lab","17851","Lab","17851","4"
"Derbyshire Dales","46780","Unaltered","Con","24378","Con","24378","1"
"Derbyshire Mid","47342","Unaltered","Con","22877","Con","22877","5"
"Derbyshire North East","47034","Unaltered","Lab","17948","Lab","17948","3"
"Derbyshire South","50419","Unaltered","Con","22935","Con","22935","5"
"Devizes","46340","Unaltered","Con","25519","Con","25519","1"
"Devon Central","53873","Unaltered","Con","27737","Con","27737","1"
"Devon East","53092","Unaltered","Con","25662","Con","25662","4"
"Devon North","51321","Unaltered","LD","24305","LD","24305","8"
"Devon South West","49860","Unaltered","Con","27908","Con","27908","1"
"Devon West & Torridge","55257","Unaltered","Con","25230","Con","25230","5"
"Dewsbury","54008","Unaltered","Con","18898","Con","18898","6"
"Don Valley","43420","Unaltered","Lab","16472","Lab","16472","6"
"Doncaster Central","41745","Unaltered","Lab","16569","Lab","16569","7"
"Doncaster North","41483","Unaltered","Lab","19637","Lab","19637","6"
"Dorset Mid & Poole North","46788","Unaltered","LD","21100","LD","21100","3"
"Dorset North","54141","Unaltered","Con","27640","Con","27640","1"
"Dorset South","50310","Unaltered","Con","22667","Con","22667","5"
"Dorset West","57337","Unaltered","Con","27287","Con","27287","4"
"Dover","50385","Unaltered","Con","22174","Con","22174","7"
"Down North","33481","Unaltered","Ind1","21181","Ind1","21181","1"
"Down South","42589","Unaltered","SDLP","20648","SDLP","20648","6"
"Dudley North","38602","Unaltered","Lab","14923","Lab","14923","5"
"Dudley South","38165","Unaltered","Con","16450","Con","16450","3"
"Dulwich & West Norwood","48214","Unaltered","Lab","22461","Lab","22461","4"
"Dumfries & Galloway","52173","Unaltered","Lab","23950","Lab","23950","4"
"Dumfriesshire, Clydesdale & Tweeddale","45892","Unaltered","Con","17457","Con","17457","5"
"Dunbartonshire East","47948","Unaltered","LD","18551","LD","18551","4"
"Dunbartonshire West","42266","Unaltered","Lab","25905","Lab","25905","1"
"Dundee East","40568","Unaltered","SNP","15350","SNP","15350","6"
"Dundee West","37126","Unaltered","Lab","17994","Lab","17994","5"
"Dunfermline & Fife West","48947","Unaltered","Lab","22639","Lab","22639","4"
"Durham, City of","46252","Unaltered","Lab","20496","Lab","20496","5"
"Durham North","40967","Unaltered","Lab","20698","Lab","20698","1"
"Durham North West","43815","Unaltered","Lab","18539","Lab","18539","5"
"Dwyfor Meirionnydd","28906","Unaltered","PC","12814","PC","12814","5"
"Ealing Central & Acton","47200","Unaltered","Con","17944","Con","17944","6"
"Ealing North","47678","Unaltered","Lab","24023","Lab","24023","1"
"Ealing Southall","42756","Unaltered","Lab","22024","Lab","22024","1"
"Easington","34914","Unaltered","Lab","20579","Lab","20579","1"
"East Ham","50373","Unaltered","Lab","35471","Lab","35471","1"
"East Kilbride, Strathaven & Lesmahagow","50946","Unaltered","Lab","26241","Lab","26241","1"
"East Lothian","49161","Unaltered","Lab","21919","Lab","21919","5"
"Eastbourne","52124","Unaltered","LD","24658","LD","24658","7"
"Eastleigh","53650","Unaltered","LD","24966","LD","24966","6"
"Eddisbury","45414","Unaltered","Con","23472","Con","23472","1"
"Edinburgh East","39865","Unaltered","Lab","17314","Lab","17314","5"
"Edinburgh North & Leith","47356","Unaltered","Lab","17740","Lab","17740","8"
"Edinburgh South","43801","Unaltered","Lab","15215","Lab","15215","4"
"Edinburgh South West","45462","Unaltered","Lab","19473","Lab","19473","6"
"Edinburgh West","46447","Unaltered","LD","16684","LD","16684","3"
"Edmonton","40377","Unaltered","Lab","21665","Lab","21665","1"
"Ellesmere Port & Neston","44233","Unaltered","Lab","19750","Lab","19750","4"
"Elmet & Rothwell","55789","Unaltered","Con","23778","Con","23778","5"
"Eltham","41964","Unaltered","Lab","17416","Lab","17416","7"
"Enfield North","44453","Unaltered","Con","18804","Con","18804","9"
"Enfield Southgate","44352","Unaltered","Con","21928","Con","21928","9"
"Epping Forest","46584","Unaltered","Con","25148","Con","25148","1"
"Epsom & Ewell","54955","Unaltered","Con","30868","Con","30868","1"
"Erewash","47642","Unaltered","Con","18805","Con","18805","6"
"Erith & Thamesmead","42476","Unaltered","Lab","19068","Lab","19068","8"
"Esher & Walton","54543","Unaltered","Con","32134","Con","32134","1"
"Exeter","52247","Unaltered","Lab","19942","Lab","19942","6"
"Falkirk","50777","Unaltered","Lab","23207","Lab","23207","4"
"Fareham","54345","Unaltered","Con","30037","Con","30037","1"
"Faversham & Kent Mid","46712","Unaltered","Con","26250","Con","26250","1"
"Feltham & Heston","48536","Unaltered","Lab","21174","Lab","21174","9"
"Fermanagh & South Tyrone","46803","Unaltered","SF","21304","SF","21304","4"
"Fife North East","40064","Unaltered","LD","17763","LD","17763","4"
"Filton & Bradley Stoke","48301","Unaltered","Con","19686","Con","19686","7"
"Finchley & Golders Green","47157","Unaltered","Con","21688","Con","21688","4"
"Folkestone & Hythe","52800","Unaltered","Con","26109","Con","26109","6"
"Forest of Dean","48763","Unaltered","Con","22853","Con","22853","4"
"Foyle","37889","Unaltered","SDLP","16922","SDLP","16922","5"
"Fylde","43690","Unaltered","Con","22826","Con","22826","1"
"Gainsborough","49251","Unaltered","Con","24266","Con","24266","4"
"Garston & Halewood","42825","Unaltered","Lab","25493","Lab","25493","1"
"Gateshead","38257","Unaltered","Lab","20712","Lab","20712","1"
"Gedling","48190","Unaltered","Lab","19821","Lab","19821","4"
"Gillingham & Rainham","46786","Unaltered","Con","21624","Con","21624","8"
"Glasgow Central","30580","Unaltered","Lab","15908","Lab","15908","1"
"Glasgow East","32164","Unaltered","Lab","19797","Lab","19797","1"
"Glasgow North","29613","Unaltered","Lab","13181","Lab","13181","6"
"Glasgow North East","29409","Unaltered","Lab","20100","Lab","20100","1"
"Glasgow North West","35582","Unaltered","Lab","19233","Lab","19233","1"
"Glasgow South","40094","Unaltered","Lab","20736","Lab","20736","1"
"Glasgow South West","31781","Unaltered","Lab","19863","Lab","19863","1"
"Glenrothes","40501","Unaltered","Lab","25247","Lab","25247","1"
"Gloucester","50764","Unaltered","Con","20267","Con","20267","5"
"Gordon","48775","Unaltered","LD","17575","LD","17575","5"
"Gosport","46939","Unaltered","Con","24300","Con","24300","1"
"Gower","41671","Unaltered","Lab","16016","Lab","16016","5"
"Grantham & Stamford","52799","Unaltered","Con","26552","Con","26552","1"
"Gravesham","47303","Unaltered","Con","22956","Con","22956","6"
"Great Grimsby","32954","Unaltered","Lab","10777","Lab","10777","6"
"Great Yarmouth","43057","Unaltered","Con","18571","Con","18571","6"
"Greenwich & Woolwich","41188","Unaltered","Lab","20262","Lab","20262","8"
"Guildford","55567","Unaltered","Con","29618","Con","29618","1"
"Hackney North & Stoke Newington","46461","Unaltered","Lab","25553","Lab","25553","1"
"Hackney South & Shoreditch","42858","Unaltered","Lab","23888","Lab","23888","1"
"Halesowen & Rowley Regis","43979","Unaltered","Con","18115","Con","18115","4"
"Halifax","43555","Unaltered","Lab","16278","Lab","16278","5"
"Haltemprice & Howden","48737","Unaltered","Con","24486","Con","24486","1"
"Halton","41338","Unaltered","Lab","23843","Lab","23843","1"
"Hammersmith","47452","Unaltered","Lab","20810","Lab","20810","6"
"Hampshire East","51317","Unaltered","Con","29137","Con","29137","1"
"Hampshire North East","52939","Unaltered","Con","32075","Con","32075","1"
"Hampshire North West","53292","Unaltered","Con","31072","Con","31072","1"
"Hampstead & Kilburn","52822","Unaltered","Lab","17332","Lab","17332","7"
"Harborough","54945","Unaltered","Con","26894","Con","26894","6"
"Harlow","43878","Unaltered","Con","19691","Con","19691","5"
"Harrogate & Knaresborough","53134","Unaltered","Con","24305","Con","24305","4"
"Harrow East","48006","Unaltered","Con","21435","Con","21435","4"
"Harrow West","46116","Unaltered","Lab","20111","Lab","20111","4"
"Hartlepool","38242","Unaltered","Lab","16267","Lab","16267","4"
"Harwich & Essex North","49000","Unaltered","Con","23001","Con","23001","6"
"Hastings & Rye","49814","Unaltered","Con","20468","Con","20468","5"
"Havant","43903","Unaltered","Con","22433","Con","22433","1"
"Hayes & Harlington","42637","Unaltered","Lab","23377","Lab","23377","1"
"Hazel Grove","41981","Unaltered","LD","20485","LD","20485","3"
"Hemel Hempstead","49471","Unaltered","Con","24721","Con","24721","5"
"Hemsworth","43840","Unaltered","Lab","20506","Lab","20506","4"
"Hendon","46374","Unaltered","Con","19635","Con","19635","4"
"Henley","53520","Unaltered","Con","30054","Con","30054","1"
"Hereford & Herefordshire South","48381","Unaltered","Con","22366","Con","22366","4"
"Herefordshire North","47568","Unaltered","Con","24631","Con","24631","1"
"Hertford & Stortford","55377","Unaltered","Con","29810","Con","29810","1"
"Hertfordshire North East","50425","Unaltered","Con","26995","Con","26995","1"
"Hertfordshire South West","56750","Unaltered","Con","30773","Con","30773","1"
"Hertsmere","47270","Unaltered","Con","26476","Con","26476","1"
"Hexham","43483","Unaltered","Con","18795","Con","18795","5"
"Heywood & Middleton","46125","Unaltered","Lab","18499","Lab","18499","5"
"High Peak","50337","Unaltered","Con","20587","Con","20587","6"
"Hitchin & Harpenden","54707","Unaltered","Con","29869","Con","29869","1"
"Holborn & St Pancras","54649","Unaltered","Lab","25198","Lab","25198","8"
"Hornchurch & Upminster","53390","Unaltered","Con","27469","Con","27469","1"
"Hornsey & Wood Green","55042","Unaltered","LD","25595","LD","25595","5"
"Horsham","55841","Unaltered","Con","29447","Con","29447","1"
"Houghton & Sunderland South","38021","Unaltered","Lab","19137","Lab","19137","1"
"Hove","49819","Unaltered","Con","18294","Con","18294","5"
"Huddersfield","40524","Unaltered","Lab","15725","Lab","15725","5"
"Hull East","34184","Unaltered","Lab","16387","Lab","16387","5"
"Hull North","33291","Unaltered","Lab","13044","Lab","13044","6"
"Hull West & Hessle","31505","Unaltered","Lab","13378","Lab","13378","6"
"Huntingdon","54266","Unaltered","Con","26516","Con","26516","7"
"Hyndburn","42672","Unaltered","Lab","17531","Lab","17531","8"
"Ilford North","47018","Unaltered","Con","21506","Con","21506","6"
"Ilford South","51191","Unaltered","Lab","25301","Lab","25301","5"
"Inverclyde","37512","Unaltered","Lab","20993","Lab","20993","1"
"Inverness, Nairn, Badenoch & Strathspey","47086","Unaltered","LD","19172","LD","19172","8"
"Ipswich","46941","Unaltered","Con","18371","Con","18371","8"
"Isle of Wight","70264","Unaltered","Con","32810","Con","32810","10"
"Islington North","44554","Unaltered","Lab","24276","Lab","24276","1"
"Islington South & Finsbury","43555","Unaltered","Lab","18407","Lab","18407","6"
"Islwyn","34684","Unaltered","Lab","17069","Lab","17069","7"
"Jarrow","38784","Unaltered","Lab","20910","Lab","20910","1"
"Keighley","47692","Unaltered","Con","20003","Con","20003","5"
"Kenilworth & Southam","48431","Unaltered","Con","25945","Con","25945","1"
"Kensington","35150","Unaltered","Con","17595","Con","17595","1"
"Kettering","47328","Unaltered","Con","23247","Con","23247","5"
"Kilmarnock & Loudoun","46553","Unaltered","Lab","24460","Lab","24460","1"
"Kingston & Surbiton","57111","Unaltered","LD","28428","LD","28428","6"
"Kingswood","47906","Unaltered","Con","19362","Con","19362","6"
"Kirkcaldy & Cowdenbeath","45802","Unaltered","Lab","29559","Lab","29559","1"
"Knowsley","44658","Unaltered","Lab","31650","Lab","31650","1"
"Lagan Valley","36540","Unaltered","DUP","18199","DUP","18199","5"
"Lanark & Hamilton East","46554","Unaltered","Lab","23258","Lab","23258","5"
"Lancashire West","48473","Unaltered","Lab","21883","Lab","21883","5"
"Lancaster & Fleetwood","42701","Unaltered","Con","15404","Con","15404","6"
"Leeds Central","37394","Unaltered","Lab","18434","Lab","18434","5"
"Leeds East","37813","Unaltered","Lab","19056","Lab","19056","1"
"Leeds North East","47535","Unaltered","Lab","20287","Lab","20287","5"
"Leeds North West","43483","Unaltered","LD","20653","LD","20653","7"
"Leeds West","38752","Unaltered","Lab","16389","Lab","16389","5"
"Leicester East","47995","Unaltered","Lab","25804","Lab","25804","1"
"Leicester South","47124","Unaltered","Lab","21479","Lab","21479","5"
"Leicester West","35819","Unaltered","Lab","13745","Lab","13745","9"
"Leicestershire North West","51952","Unaltered","Con","23147","Con","23147","4"
"Leicestershire South","54577","Unaltered","Con","27000","Con","27000","4"
"Leigh","44332","Unaltered","Lab","21295","Lab","21295","7"
"Lewes","50088","Unaltered","LD","26048","LD","26048","1"
"Lewisham Deptford","41220","Unaltered","Lab","22132","Lab","22132","1"
"Lewisham East","41719","Unaltered","Lab","17966","Lab","17966","6"
"Lewisham West & Penge","45028","Unaltered","Lab","18501","Lab","18501","5"
"Leyton & Wanstead","40159","Unaltered","Lab","17511","Lab","17511","7"
"Lichfield","51563","Unaltered","Con","28048","Con","28048","1"
"Lincoln","45721","Unaltered","Con","17163","Con","17163","6"
"Linlithgow & Falkirk East","51450","Unaltered","Lab","25634","Lab","25634","3"
"Liverpool Riverside","38801","Unaltered","Lab","22998","Lab","22998","1"
"Liverpool Walton","34335","Unaltered","Lab","24709","Lab","24709","1"
"Liverpool Wavertree","37914","Unaltered","Lab","20132","Lab","20132","1"
"Liverpool West Derby","35784","Unaltered","Lab","22953","Lab","22953","1"
"Livingston","47907","Unaltered","Lab","23215","Lab","23215","7"
"Llanelli","37461","Unaltered","Lab","15916","Lab","15916","4"
"Londonderry East","34950","Unaltered","DUP","12097","DUP","12097","5"
"Loughborough","52838","Unaltered","Con","21971","Con","21971","4"
"Louth & Horncastle","50494","Unaltered","Con","25065","Con","25065","6"
"Ludlow","48732","Unaltered","Con","25720","Con","25720","1"
"Luton North","43018","Unaltered","Lab","21192","Lab","21192","5"
"Luton South","42216","Unaltered","Lab","14725","Lab","14725","11"
"Macclesfield","50059","Unaltered","Con","23503","Con","23503","5"
"Maidenhead","53720","Unaltered","Con","31937","Con","31937","1"
"Maidstone & The Weald","48928","Unaltered","Con","23491","Con","23491","6"
"Makerfield","43771","Unaltered","Lab","20700","Lab","20700","5"
"Maldon","47895","Unaltered","Con","28661","Con","28661","1"
"Manchester Central","39927","Unaltered","Lab","21059","Lab","21059","1"
"Manchester Gorton","38325","Unaltered","Lab","19211","Lab","19211","1"
"Manchester Withington","45031","Unaltered","LD","20110","LD","20110","6"
"Mansfield","48395","Unaltered","Lab","18753","Lab","18753","5"
"Meon Valley","51238","Unaltered","Con","28818","Con","28818","1"
"Meriden","52162","Unaltered","Con","26956","Con","26956","1"
"Merthyr Tydfil & Rhymney","32076","Unaltered","Lab","14007","Lab","14007","7"
"Middlesbrough","33455","Unaltered","Lab","15351","Lab","15351","5"
"Middlesbrough South & Cleveland East","46214","Unaltered","Lab","18138","Lab","18138","5"
"Midlothian","39242","Unaltered","Lab","18449","Lab","18449","7"
"Milton Keynes North","53888","Unaltered","Con","23419","Con","23419","8"
"Milton Keynes South","55333","Unaltered","Con","23034","Con","23034","7"
"Mitcham & Morden","43797","Unaltered","Lab","24722","Lab","24722","1"
"Mole Valley","54324","Unaltered","Con","31263","Con","31263","1"
"Monmouth","46519","Unaltered","Con","22466","Con","22466","5"
"Montgomeryshire","33813","Unaltered","Con","13976","Con","13976","6"
"Moray","41004","Unaltered","SNP","16273","SNP","16273","4"
"Morecambe & Lunesdale","43436","Unaltered","Con","18035","Con","18035","4"
"Morley & Outwood","48856","Unaltered","Lab","18365","Lab","18365","4"
