3918 1 3 4 2 2 3 2 2
3929 4 5 4 5 4 5 5 4
3931 2 2 3 2 1 2 2 4
3932 4 4 5 5 4 5 4 4
3935 4 4 3 4 2 4 4 4
3939 2 4 2 1 2 3 3 2
3944 5 5 3 4 4 4 4 5
3946 3 5 5 5 3 3 5 2
3956 3 2 4 2 4 2 1 3
3958 3 4 4 1 1 3 3 4
3961 4 5 3 4 5 4 5 4
3962 4 5 5 5 4 5 5 5
3963 5 4 5 4 3 5 5 5
3965 1 2 3 2 2 1 3 2
3967 5 5 5 3 3 5 5 4
3968 2 4 2 2 4 3 4 5
3971 4 5 5 5 4 3 4 4
3975 3 4 3 2 4 2 4 2
3977 5 5 1 2 1 5 5 1
3980 3 5 2 3 3 2 3 5
3982 4 5 5 5 3 5 5 4
3983 2 3 3 2 2 5 3 3
3984 4 5 4 4 2 4 4 4
3985 3 4 5 1 3 5 5 3
3988 4 4 4 2 2 2 3 2
3992 5 5 4 5 5 5 5 4
3994 3 4 4 3 4 4 4 4
3997 3 4 5 4 4 5 4 5
4004 5 5 5 5 4 3 5 5
4006 2 1 2 2 2 1 2 2
4011 5 5 5 5 5 3 5 5
4013 4 5 5 5 5 5 5 5
4014 4 3 4 4 4 5 4 2
4020 4 5 4 5 2 2 4 2
4026 3 3 5 4 3 5 4 5
4027 5 5 4 4 3 4 5 2
4028 3 4 2 3 4 5 3 5
4030 5 5 5 5 5 5 5 4
4031 4 5 5 3 4 4 5 3
4032 3 4 2 2 3 4 4 3
4036 4 4 3 4 4 4 4 3
4037 3 3 4 3 2 2 3 3
4039 5 1 5 5 5 5 5 5
4040 5 5 5 5 4 3 5 5
4046 4 5 4 3 3 3 5 3
4055 3 5 2 5 5 4 5 5
4062 2 4 4 3 4 2 1 2
4065 4 3 4 5 5 5 4 5
4070 3 3 3 3 4 3 3 3
4072 5 5 5 5 5 5 5 5
4075 4 4 4 5 4 4 4 4
4076 5 5 5 5 5 3 5 5
4077 3 3 3 2 2 3 2 3
4083 3 3 3 3 2 4 4 2
4084 2 2 4 4 3 5 4 4
4092 1 3 2 1 3 4 5 4
4096 4 5 4 5 3 5 5 3
4098 4 5 4 4 5 5 3 5
4099 4 5 5 5 3 5 5 5
4100 4 5 5 5 4 4 5 2
4101 4 4 3 3 3 4 5 5
4106 3 3 3 3 3 2 4 3
4108 4 5 5 3 4 1 3 2
4111 3 4 3 3 3 4 4 4
4113 2 3 2 1 2 1 3 2
4119 5 5 5 5 5 5 5 1
4121 4 3 5 2 1 5 4 1
4122 1 1 3 1 2 1 1 3
4123 5 5 5 5 4 2 3 4
4128 3 4 5 4 3 3 4 4
4131 4 5 4 3 4 5 4 5
4134 5 5 4 4 2 5 5 2
4135 2 2 2 3 1 3 3 1
4136 3 3 5 5 4 5 5 3
4137 5 4 4 4 5 3 4 4
4140 1 1 3 1 1 2 1 2
4144 3 2 2 3 3 4 3 4
4146 2 2 4 1 2 2 5 3
4148 2 5 2 2 1 1 4 2
4149 4 4 5 3 3 4 4 4
4150 5 5 4 5 5 5 5 5
4152 3 3 4 3 3 3 3 4
4158 4 4 5 1 5 2 5 4
4163 2 2 2 1 1 2 1 2
4164 3 5 5 3 2 1 5 4
4165 4 4 4 3 2 5 3 2
4173 5 5 5 5 4 5 5 4
4174 1 1 1 1 1 1 1 1
4177 4 4 5 5 5 5 5 5
4179 5 5 4 2 4 4 5 5
4185 3 4 5 2 2 3 4 2
4186 5 5 5 4 4 5 4 1
4187 3 5 4 4 3 4 4 4
4188 4 4 5 4 4 4 5 4
4190 4 4 4 4 3 5 5 4
